particle_id,shape_type,x_pixel,y_pixel,x_pixel_matlab,y_pixel_matlab,z_position_m,z_position_mm,equivalent_diameter_um,volume_um3,target_radius_um,num_sub_spheres,num_vertices,aspect_ratio,radial_jitter,spike_fraction,indent_fraction,num_fragments,fragment_overlap,radius_um
1,aggregate,820.627,758.903,821.627,759.903,0.03216515253048843,32.165152530488434,111.498,725780.25,64.9580834068228,9.0,,,,,,,,
2,polyhedron,532.439,920.262,533.439,921.262,0.031516835935981556,31.516835935981558,92.388,412903.329,93.49346605782421,,23.0,"[0.7698458189485535, 0.5055567623918993, 0.8463518599662514]",0.34369894668331935,0.08433481392321403,0.1406018425002453,4.0,0.5076495250573263,
3,sphere,836.891,608.255,837.891,609.255,0.034318699663392516,34.318699663392515,116.493,827756.811,,,,,,,,,,58.24670794893295
4,polyhedron,179.628,691.074,180.628,692.074,0.024989240696819192,24.98924069681919,65.645,148119.708,84.18557789052831,,17.0,"[0.8531070360843325, 0.46359279105741613, 0.6294825376350908]",0.32116187421142606,0.1366790656270941,0.15921728837217822,3.0,0.6702013545966718,
5,aggregate,374.581,295.46,375.581,296.46,0.02654885114234017,26.54885114234017,107.333,647429.625,55.378738241352195,11.0,,,,,,,,
6,aggregate,928.639,445.662,929.639,446.662,0.0307898935644284,30.7898935644284,181.151,3112591.908,87.254658616739,13.0,,,,,,,,
7,polyhedron,879.312,954.758,880.312,955.758,0.026576545080884268,26.57654508088427,70.082,180225.0,72.02166697734972,,26.0,"[0.7391417324867902, 0.3348870662161697, 0.7708678887703809]",0.5032132508765467,0.14785513450764315,0.14922160261078035,3.0,0.685265592347708,
8,sphere,801.708,644.957,802.708,645.957,0.022320915995955544,22.320915995955545,100.912,538060.59,,,,,,,,,,50.45615957303381
9,sphere,587.613,464.102,588.613,465.102,0.029103711355939782,29.103711355939783,113.124,757984.694,,,,,,,,,,56.5618938273912
10,aggregate,35.088,158.21,36.088,159.21,0.027634923531343253,27.634923531343254,149.303,1742623.875,74.3910136856487,15.0,,,,,,,,
11,aggregate,239.675,922.281,240.675,923.281,0.02475332705115664,24.75332705115664,163.962,2307977.907,88.02226907046004,9.0,,,,,,,,
12,sphere,506.796,429.692,507.796,430.692,0.025834011675076082,25.83401167507608,197.841,4054624.967,,,,,,,,,,98.9207408658358
13,sphere,562.477,693.244,563.477,694.244,0.03264104215736416,32.64104215736416,149.543,1751035.48,,,,,,,,,,74.77138849790714
14,sphere,752.845,688.197,753.845,689.197,0.020102386872120872,20.10238687212087,147.033,1664343.586,,,,,,,,,,73.51649485784128
15,sphere,664.144,841.449,665.144,842.449,0.025328736927939757,25.328736927939758,154.788,1941809.239,,,,,,,,,,77.39376680998829
16,polyhedron,75.542,208.304,76.542,209.304,0.034333276321188926,34.333276321188926,102.069,556775.174,93.72184545841934,,34.0,"[0.6520078525707655, 0.363862723184072, 0.7014544117396584]",0.3821501673754985,0.15445516205926144,0.23450350561047884,2.0,0.4508783983993176,
17,sphere,386.201,902.418,387.201,903.418,0.02522719517047838,25.227195170478378,133.957,1258628.25,,,,,,,,,,66.9786344061795
18,polyhedron,190.429,783.295,191.429,784.295,0.03206166307851356,32.06166307851356,82.322,292112.762,86.88948951685813,,22.0,"[0.7551477986369204, 0.42708529703097753, 0.9682826431364818]",0.4816505790207861,0.14265164762632018,0.21322419524184,4.0,0.5418775920197014,
19,sphere,338.818,592.667,339.818,593.667,0.03033008236700497,30.33008236700497,180.077,3057560.146,,,,,,,,,,90.03861374063833
20,sphere,601.287,211.985,602.287,212.985,0.021526791663493153,21.526791663493153,124.586,1012532.357,,,,,,,,,,62.29312244834929
