particle_id,shape_type,x_pixel,y_pixel,x_pixel_matlab,y_pixel_matlab,z_position_m,z_position_mm,equivalent_diameter_um,volume_um3,target_radius_um,num_vertices,aspect_ratio,radial_jitter,spike_fraction,indent_fraction,num_fragments,fragment_overlap,num_sub_spheres,radius_um
1,polyhedron,168.538,296.005,169.538,297.005,0.030878731282092974,30.878731282092975,67.374,160133.625,64.36205570037728,27.0,"[0.866723498724089, 0.8490725714400006, 0.3274258480366375]",0.49815538210648447,0.14564917202024896,0.16203135056936968,2.0,0.6354808635354134,,
2,aggregate,250.664,999.751,251.664,1000.751,0.025468976635654922,25.468976635654922,110.642,709178.625,62.36648033738992,,,,,,,,9.0,
3,sphere,452.105,197.479,453.105,198.479,0.03364076378209708,33.64076378209708,130.799,1171692.475,,,,,,,,,,65.39958771105238
4,sphere,182.096,918.893,183.096,919.893,0.022846949821829766,22.846949821829767,125.053,1023954.524,,,,,,,,,,62.526485708712094
5,polyhedron,463.911,547.46,464.911,548.46,0.03311737475384372,33.11737475384372,55.906,91489.5,52.56559209332371,25.0,"[0.8249887839764745, 0.5468540370648726, 0.9960809914619176]",0.43611728585512427,0.1266213686551455,0.2514561744036626,3.0,0.6674966710748609,,
6,sphere,658.461,710.266,659.461,711.266,0.02927806044652046,29.27806044652046,160.347,2158657.54,,,,,,,,,,80.1736606175911
7,aggregate,794.873,611.224,795.873,612.224,0.020141905163072127,20.141905163072128,128.569,1112782.912,82.03271671012354,,,,,,,,8.0,
8,sphere,660.883,518.925,661.883,519.925,0.027804585604395502,27.804585604395502,116.834,835040.435,,,,,,,,,,58.41705139414316
9,sphere,746.217,791.809,747.217,792.809,0.03130548251303781,31.30548251303781,182.209,3167460.687,,,,,,,,,,91.10471936127188
10,polyhedron,224.001,429.866,225.001,430.866,0.027714490302276906,27.714490302276907,36.802,26098.875,50.196999546762946,20.0,"[0.391344595420949, 0.2992633808410121, 0.9780144504692383]",0.3290677289848944,0.14736156593638683,0.1740032595993795,2.0,0.4392159162105194,,
11,aggregate,35.443,308.182,36.443,309.182,0.03293874027806118,32.93874027806118,157.841,2059004.382,79.41539005182568,,,,,,,,12.0,
12,polyhedron,614.214,611.949,615.214,612.949,0.0313401798790531,31.340179879053096,69.171,173289.082,97.57725529205894,21.0,"[0.5463818874082496, 0.4083194383723868, 0.5198813696504713]",0.3130014303057614,0.0883991404372212,0.15360149123654238,2.0,0.5981233697538905,,
13,polyhedron,269.348,684.959,270.348,685.959,0.023907042609749032,23.907042609749034,45.696,49960.83,97.03145275641518,25.0,"[0.268963410890302, 0.29417309851179896, 0.3767792732734507]",0.39225282918190163,0.1349078658134622,0.25620626903942656,3.0,0.5031822134552024,,
14,aggregate,113.625,710.728,114.625,711.728,0.023308536567765055,23.308536567765056,151.698,1827855.493,77.87349215407865,,,,,,,,11.0,
15,sphere,511.503,427.722,512.503,428.722,0.026184792144061726,26.184792144061728,197.954,4061558.083,,,,,,,,,,98.97709120037686
16,sphere,947.837,986.342,948.837,987.342,0.03235600526274191,32.35600526274191,199.737,4172268.867,,,,,,,,,,99.86835414284775
17,aggregate,224.626,161.468,225.626,162.468,0.026819133856723125,26.819133856723123,169.854,2565824.004,94.45616415625037,,,,,,,,8.0,
18,sphere,936.378,807.43,937.378,808.43,0.021128824356356574,21.128824356356574,152.292,1849403.216,,,,,,,,,,76.14610027306273
19,sphere,248.421,333.307,249.421,334.307,0.03345967379906656,33.45967379906656,187.283,3439475.533,,,,,,,,,,93.64139431245358
20,sphere,885.353,838.326,886.353,839.326,0.02752038072269099,27.52038072269099,118.162,863845.408,,,,,,,,,,59.081177179142244
