particle_id,shape_type,x_pixel,y_pixel,x_pixel_matlab,y_pixel_matlab,z_position_m,z_position_mm,equivalent_diameter_um,volume_um3,radius_um,target_radius_um,num_vertices,aspect_ratio,radial_jitter,spike_fraction,indent_fraction,num_fragments,fragment_overlap,num_sub_spheres
1,sphere,744.886,292.977,745.886,293.977,0.03254440286724007,32.54440286724007,162.497,2246639.374,81.24841900209898,,,,,,,,,
2,polyhedron,209.456,616.538,210.456,617.538,0.03149336147974563,31.49336147974563,44.858,47263.5,,53.64404436929644,19.0,"[0.8666005378557049, 0.2877400347615932, 0.870777623692853]",0.505887662373455,0.14349227645776927,0.2243017975810513,2.0,0.6679531818262587,
3,sphere,821.238,388.302,822.238,389.302,0.02835781389174772,28.35781389174772,158.304,2077170.178,79.15186576290618,,,,,,,,,
4,sphere,842.891,936.064,843.891,937.064,0.020448904788984607,20.448904788984606,123.671,990384.126,61.83556792141785,,,,,,,,,
5,sphere,463.265,208.779,464.265,209.779,0.03448536033590062,34.48536033590062,158.094,2068927.413,79.04702839507749,,,,,,,,,
6,polyhedron,90.03,411.905,91.03,412.905,0.022266431348494067,22.266431348494066,61.494,121759.875,,62.14880588139778,20.0,"[0.525636304507964, 0.9029947906118061, 0.6803276003563551]",0.44018689161325303,0.12551998245077992,0.23175519547187445,2.0,0.6320971270909355,
7,polyhedron,350.469,517.36,351.469,518.36,0.02316657010738685,23.16657010738685,63.25,132490.732,,98.92526420679047,16.0,"[0.45687719338387806, 0.5541434673059962, 0.502990096222471]",0.31538530992046204,0.15570078063157275,0.23435073841869955,3.0,0.5225998276109283,
8,aggregate,53.012,831.778,54.012,832.778,0.02664167187827534,26.64167187827534,133.667,1250451.0,,72.70737103039156,,,,,,,,9.0
9,aggregate,452.833,678.658,453.833,679.658,0.022408998759813448,22.408998759813446,190.869,3640855.657,,90.30505909712666,,,,,,,,14.0
10,sphere,480.32,935.267,481.32,936.267,0.02396428412651822,23.96428412651822,148.779,1724351.565,74.38963059712867,,,,,,,,,
11,polyhedron,558.786,56.351,559.786,57.351,0.022629884340277438,22.62988434027744,60.687,117024.799,,90.97923825120907,31.0,"[0.4680001279859253, 0.5647715310796853, 0.2920642476959394]",0.38453693329068916,0.09137056467547386,0.2338717151695204,2.0,0.48171048083644447,
12,polyhedron,800.77,650.309,801.77,651.309,0.02618842295908046,26.18842295908046,76.896,238072.931,,98.86591896234005,23.0,"[0.870194064739553, 0.5087973206007348, 0.25581420279160066]",0.33664028138340635,0.1554560085027557,0.16254532057259927,4.0,0.5769190084957468,
13,sphere,459.637,373.87,460.637,374.87,0.023099716072821075,23.099716072821074,194.059,3826464.827,97.02933139852595,,,,,,,,,
14,sphere,919.115,777.415,920.115,778.415,0.0216636276299276,21.6636276299276,193.05,3767108.85,96.52500956546368,,,,,,,,,
15,sphere,354.017,161.109,355.017,162.109,0.021310246171949272,21.310246171949274,153.846,1906601.995,76.92316494058332,,,,,,,,,
16,aggregate,467.46,473.565,468.46,474.565,0.024771970640942696,24.771970640942694,122.758,968613.79,,89.94300080841802,,,,,,,,6.0
17,sphere,330.12,275.887,331.12,276.887,0.031837032404558145,31.837032404558144,177.237,2915179.13,88.61873484895621,,,,,,,,,
18,sphere,305.041,753.562,306.041,754.562,0.02830532535384518,28.30532535384518,198.606,4101830.655,99.30315321131604,,,,,,,,,
19,aggregate,508.423,44.747,509.423,45.747,0.026060178051950933,26.060178051950935,111.243,720798.75,,72.62760075457822,,,,,,,,7.0
20,aggregate,521.37,908.216,522.37,909.216,0.03211399024292444,32.11399024292444,119.969,904074.75,,60.29851934585533,,,,,,,,15.0
