particle_id,shape_type,x_pixel,y_pixel,x_pixel_matlab,y_pixel_matlab,z_position_m,z_position_mm,equivalent_diameter_um,volume_um3,radius_um,target_radius_um,num_sub_spheres,num_vertices,aspect_ratio,radial_jitter,spike_fraction,indent_fraction,num_fragments,fragment_overlap
1,sphere,715.106,853.287,716.106,854.287,0.021068174004299674,21.068174004299674,122.288,957515.494,61.143796387851,,,,,,,,,
2,aggregate,128.017,900.524,129.017,901.524,0.025548583755952946,25.548583755952947,118.109,862671.283,,80.03105807996309,8.0,,,,,,,
3,sphere,648.302,458.92,649.302,459.92,0.022492895580402492,22.492895580402493,104.521,597876.561,52.26058973112124,,,,,,,,,
4,polyhedron,440.961,461.016,441.961,462.016,0.029592462042307213,29.592462042307215,94.945,448140.519,,77.73334905765894,,21.0,"[0.6836118828752984, 0.8108113648586601, 0.9550412928989859]",0.32124632109910334,0.09892077937012962,0.20366822789332023,2.0,0.44866305708266063
5,polyhedron,266.982,420.751,267.982,421.751,0.03146702940382125,31.467029403821247,61.359,120956.625,,60.54007097231792,,15.0,"[0.8049139682488153, 0.9799819271236525, 0.5234828518809597]",0.4533382422958327,0.09340178781915576,0.19426075555801042,3.0,0.561960695102392
6,sphere,379.648,166.152,380.648,167.152,0.020619164663039664,20.619164663039665,147.005,1663386.797,73.50240457450744,,,,,,,,,
7,aggregate,935.611,761.497,936.611,762.497,0.029313460683720836,29.313460683720837,126.837,1068406.875,,66.22845251598162,12.0,,,,,,,
8,aggregate,720.884,981.709,721.884,982.709,0.027499335565765573,27.499335565765573,99.197,511093.125,,53.82997437699939,7.0,,,,,,,
9,polyhedron,598.272,597.34,599.272,598.34,0.02446550268575694,24.46550268575694,37.743,28150.875,,56.25586144871351,,23.0,"[0.7101140404284939, 0.7467915188904634, 0.25320485407900123]",0.47813255264291804,0.10585064762083908,0.2228140042194372,2.0,0.5442177240921584
10,sphere,986.017,791.292,987.017,792.292,0.027167705872657436,27.167705872657436,164.507,2331070.022,82.25372407911276,,,,,,,,,
11,aggregate,455.849,786.125,456.849,787.125,0.020480610202704058,20.480610202704057,117.151,841851.113,,79.34201185864987,6.0,,,,,,,
12,sphere,530.306,57.342,531.306,58.342,0.03333549707627448,33.33549707627448,140.155,1441520.953,70.07731442601245,,,,,,,,,
13,sphere,511.447,504.548,512.447,505.548,0.024791320445451553,24.791320445451554,153.864,1907262.2,76.93204271364704,,,,,,,,,
14,sphere,36.015,89.645,37.015,90.645,0.0306458725069208,30.645872506920803,194.003,3823191.96,97.00165966421474,,,,,,,,,
15,sphere,993.759,279.345,994.759,280.345,0.027933396222575298,27.933396222575297,147.159,1668623.896,73.579463429712,,,,,,,,,
16,sphere,264.961,245.742,265.961,246.742,0.03154988824088829,31.549888240888286,166.542,2418632.925,83.27100070536362,,,,,,,,,
17,polyhedron,830.673,794.153,831.673,795.153,0.03276502630737004,32.76502630737004,64.284,139090.5,,59.42503393232885,,24.0,"[0.704892809767526, 0.8034862139149543, 0.8339684745935729]",0.3380419323933983,0.1329304758257299,0.21233022555002987,3.0,0.6083741028714269
18,polyhedron,100.78,408.273,101.78,409.273,0.031177991187785248,31.17799118778525,40.953,35964.0,,63.83420835807087,,31.0,"[0.282898450873878, 0.8189896852916039, 0.1635833650625399]",0.415896549827688,0.13421732029788622,0.17928501690894186,4.0,0.4901440349474572
19,sphere,949.174,251.05,950.174,252.05,0.022973048412278315,22.973048412278317,105.17,609076.618,52.58490649715395,,,,,,,,,
20,aggregate,660.066,549.255,661.066,550.255,0.03210666550306909,32.106665503069095,123.725,991672.875,,61.6199420313418,14.0,,,,,,,
