particle_id,shape_type,x_pixel,y_pixel,x_pixel_matlab,y_pixel_matlab,z_position_m,z_position_mm,equivalent_diameter_um,volume_um3,target_radius_um,num_sub_spheres,num_vertices,aspect_ratio,radial_jitter,spike_fraction,indent_fraction,num_fragments,fragment_overlap,radius_um
1,aggregate,643.891,616.004,644.891,617.004,0.021910171281187288,21.91017128118729,209.961,4846323.182,97.38860866972556,12.0,,,,,,,,
2,polyhedron,25.543,646.412,26.543,647.412,0.03109986963304142,31.09986963304142,58.559,105144.75,65.71352272940614,,31.0,"[0.6539764681139406, 0.4249079030468825, 0.6232916108236961]",0.41115670001856164,0.14659996527417532,0.20697709187598573,3.0,0.5416067627035118,
3,sphere,347.009,683.678,348.009,684.678,0.027096280203414553,27.096280203414555,178.133,2959601.245,,,,,,,,,,89.06659794959205
4,sphere,649.458,529.106,650.458,530.106,0.02724528256614663,27.245282566146628,174.829,2797949.991,,,,,,,,,,87.41456073405153
5,sphere,524.952,199.152,525.952,200.152,0.028569870282860777,28.569870282860776,194.412,3847394.662,,,,,,,,,,97.20591879693606
6,aggregate,448.311,509.886,449.311,510.886,0.027358160425806098,27.358160425806098,165.605,2378049.095,87.98696713457713,14.0,,,,,,,,
7,sphere,401.883,535.33,402.883,536.33,0.034141932707072234,34.141932707072236,102.594,565408.38,,,,,,,,,,51.29691063755297
8,sphere,954.515,349.172,955.515,350.172,0.02763926993555569,27.63926993555569,178.756,2990733.948,,,,,,,,,,89.3778130133327
9,sphere,237.918,460.844,238.918,461.844,0.020869321490817487,20.869321490817487,129.767,1144181.63,,,,,,,,,,64.88367702572499
10,sphere,598.694,76.42,599.694,77.42,0.03236721847495922,32.36721847495922,137.742,1368343.723,,,,,,,,,,68.87086405684133
11,aggregate,991.671,167.087,992.671,168.087,0.029689159677676623,29.689159677676624,123.343,982513.125,74.92719508255892,7.0,,,,,,,,
12,polyhedron,247.632,840.882,248.632,841.882,0.03370961186601429,33.709611866014285,61.303,120628.888,76.4450999019691,,33.0,"[0.5058655372493926, 0.6106455583677037, 0.4615679838140315]",0.41167876428835,0.1046177358156493,0.19995896325485107,2.0,0.5533646945824684,
13,aggregate,640.457,802.515,641.457,803.515,0.029779134758088417,29.779134758088418,97.358,483185.25,51.940716252319504,13.0,,,,,,,,
14,sphere,100.877,634.918,101.877,635.918,0.02481224814191841,24.81224814191841,101.686,550530.696,,,,,,,,,,50.842977558720236
15,polyhedron,740.103,92.971,741.103,93.971,0.027551196208812183,27.551196208812183,111.024,716548.762,85.48244723541626,,35.0,"[0.8681780720350588, 0.7486380951705803, 0.6649036321323906]",0.2913935420180717,0.10477987577568984,0.17218700070534,3.0,0.6253112895778622,
16,polyhedron,489.315,134.522,490.315,135.522,0.03318026088063898,33.18026088063898,77.275,241609.638,90.56776737278693,,22.0,"[0.8136993895006165, 0.28753872673277736, 0.7485771134263599]",0.43585019376595835,0.09439330922237957,0.15680395236749123,2.0,0.5640246404440972,
17,polyhedron,944.137,826.402,945.137,827.402,0.02937018066645857,29.370180666458573,46.968,54249.75,52.15646910453239,,34.0,"[0.34339606289048374, 0.8946021016324855, 0.5432625160815538]",0.33711998020086686,0.11689130144404593,0.17127009276013105,2.0,0.4859881573648802,
18,sphere,114.048,329.203,115.048,330.203,0.024250163012790725,24.250163012790726,131.804,1198899.275,,,,,,,,,,65.90191420741682
19,sphere,908.601,61.922,909.601,62.922,0.030493344851124076,30.493344851124075,160.115,2149298.321,,,,,,,,,,80.05762399902247
20,aggregate,813.269,35.611,814.269,36.611,0.027198401987515684,27.198401987515684,100.335,528872.625,50.86697909108403,12.0,,,,,,,,
