particle_id,shape_type,x_pixel,y_pixel,x_pixel_matlab,y_pixel_matlab,z_position_m,z_position_mm,equivalent_diameter_um,volume_um3,radius_um,target_radius_um,num_sub_spheres,num_vertices,aspect_ratio,radial_jitter,spike_fraction,indent_fraction,num_fragments,fragment_overlap
1,sphere,122.985,492.495,123.985,493.495,0.022686738062332117,22.686738062332118,110.254,701742.673,55.12683924072172,,,,,,,,,
2,sphere,136.27,730.956,137.27,731.956,0.027122491523420302,27.1224915234203,129.065,1125714.233,64.53270197532548,,,,,,,,,
3,aggregate,350.37,956.27,351.37,957.27,0.03355335790760513,33.553357907605125,167.115,2443687.875,,85.42554091051917,14.0,,,,,,,
4,aggregate,277.316,205.297,278.316,206.297,0.027834465538188836,27.834465538188837,129.103,1126706.625,,65.461840673628,15.0,,,,,,,
5,aggregate,847.906,872.859,848.906,873.859,0.03282552147610152,32.82552147610152,149.116,1736081.511,,88.41455008870425,7.0,,,,,,,
6,polyhedron,362.844,888.942,363.844,889.942,0.02063168145840346,20.63168145840346,69.68,177142.251,,86.07062739311633,,27.0,"[0.49423571798490784, 0.42236580294478143, 0.5495195054098934]",0.48286597210171145,0.10008903702901784,0.24439276828338646,3.0,0.39403445130625964
7,sphere,482.951,340.829,483.951,341.829,0.02986747510219638,29.86747510219638,196.763,3988663.683,98.38138598025805,,,,,,,,,
8,aggregate,423.705,649.992,424.705,650.992,0.02347175106843167,23.47175106843167,201.215,4265593.067,,93.15929544837618,15.0,,,,,,,
9,polyhedron,142.812,626.638,143.812,627.638,0.033851608024412234,33.851608024412236,81.604,284529.375,,58.24096731232193,,35.0,"[0.9241721800886608, 0.5724494630497517, 0.9710887022960691]",0.3805639131493309,0.11718642473921297,0.24899329132724596,3.0,0.6594543758531146
10,sphere,336.598,605.76,337.598,606.76,0.029825543850895475,29.825543850895475,143.534,1548334.5,71.76709940656902,,,,,,,,,
11,polyhedron,256.723,386.273,257.723,387.273,0.027334727207755944,27.334727207755943,70.843,186160.967,,88.0437236495558,,26.0,"[0.3669208200056181, 0.629789189103462, 0.7529705018440882]",0.3012186011804107,0.13107542330546093,0.18872306303841352,3.0,0.6312122185356406
12,aggregate,764.694,388.311,765.694,389.311,0.031039645210330293,31.039645210330292,134.576,1276138.125,,73.27722306381918,9.0,,,,,,,
13,sphere,591.285,69.285,592.285,70.285,0.03138821512299385,31.38821512299385,182.649,3190458.711,91.32468293586686,,,,,,,,,
14,sphere,278.617,490.558,279.617,491.558,0.027162494581707466,27.162494581707467,164.263,2320695.92,82.1315230515352,,,,,,,,,
15,sphere,47.734,584.759,48.734,585.759,0.029473682989382122,29.473682989382123,171.39,2636065.356,85.69507332354704,,,,,,,,,
16,sphere,648.311,199.338,649.311,200.338,0.029190095198754144,29.190095198754143,118.812,878170.946,59.40597822044569,,,,,,,,,
17,polyhedron,503.092,59.041,504.092,60.041,0.02408104626025056,24.08104626025056,121.983,950376.337,,96.23277010280964,,34.0,"[0.8766616586119935, 0.6025882407160941, 0.9648663422326912]",0.35676259729548687,0.09039044214289255,0.1853864709041163,4.0,0.5919093366002302
18,polyhedron,860.847,711.19,861.847,712.19,0.028528598542283748,28.52859854228375,66.729,155578.105,,97.07755712564642,,21.0,"[0.6491576671949479, 0.3487882369462414, 0.7012173719692665]",0.40089538717375695,0.10491196205815005,0.14899216396557619,3.0,0.46181847290361716
19,sphere,207.188,297.43,208.188,298.43,0.029396224230860676,29.396224230860675,142.988,1530720.621,71.49391964316762,,,,,,,,,
20,sphere,740.811,836.295,741.811,837.295,0.02058049643111029,20.58049643111029,109.821,693515.375,54.91055433405138,,,,,,,,,
