particle_id,shape_type,x_pixel,y_pixel,x_pixel_matlab,y_pixel_matlab,z_position_m,z_position_mm,equivalent_diameter_um,volume_um3,target_radius_um,num_sub_spheres,radius_um,num_vertices,aspect_ratio,radial_jitter,spike_fraction,indent_fraction,num_fragments,fragment_overlap
1,aggregate,107.14,143.839,108.14,144.839,0.03311456926870304,33.11456926870304,118.813,878191.201,75.89978108428949,8.0,,,,,,,,
2,sphere,97.891,529.442,98.891,530.442,0.024426118961866118,24.42611896186612,144.025,1564282.344,,,72.01265860602308,,,,,,,
3,aggregate,199.334,430.774,200.334,431.774,0.023916327887016926,23.916327887016926,113.073,756968.625,70.2602416723755,12.0,,,,,,,,
4,polyhedron,826.693,933.199,827.693,934.199,0.023649290812381162,23.649290812381164,23.314,6635.25,51.5694995676928,,,17.0,"[0.4809391681342883, 0.5300159041220839, 0.15855387076963712]",0.5033322281930473,0.08935963596981271,0.23413918547654441,4.0,0.5113571173198201
5,sphere,321.936,549.452,322.936,550.452,0.02201177078910419,22.01177078910419,111.769,731085.914,,,55.88474440378955,,,,,,,
6,sphere,232.192,342.418,233.192,343.418,0.02068946100433038,20.68946100433038,196.002,3942597.934,,,98.0011774401904,,,,,,,
7,sphere,264.71,511.13,265.71,512.13,0.022896665849517266,22.896665849517266,156.849,2020413.136,,,78.42427720832912,,,,,,,
8,polyhedron,395.613,829.646,396.613,830.646,0.03379447704252225,33.79447704252225,72.344,198247.285,78.15676340823964,,,18.0,"[0.8058086377958478, 0.49750776883574893, 0.9898066474052606]",0.3842059648966945,0.15599716951593923,0.15454395882110294,2.0,0.5889046823774805
9,polyhedron,762.78,906.729,763.78,907.729,0.02393019753767,23.93019753767,79.476,262847.466,80.7397507593052,,,20.0,"[0.9432796801884497, 0.998200226408225, 0.29257692022098325]",0.4794256588906521,0.0983243415755136,0.14979818729223293,2.0,0.5956717087509147
10,sphere,663.587,431.626,664.587,432.626,0.024522322997589125,24.522322997589125,182.366,3175658.539,,,91.18324910884209,,,,,,,
11,aggregate,232.446,931.188,233.446,932.188,0.022220757656274993,22.220757656274994,150.794,1795359.32,84.77613009633413,9.0,,,,,,,,
12,sphere,964.071,112.415,965.071,113.415,0.029924297508826622,29.924297508826623,186.327,3387059.989,,,93.16327773094685,,,,,,,
13,sphere,196.871,666.384,197.871,667.384,0.026754688880427206,26.754688880427206,161.43,2202666.278,,,80.71483523688453,,,,,,,
14,polyhedron,899.003,796.929,900.003,797.929,0.02471901341339298,24.719013413392982,36.153,24742.125,50.28625449930585,,,24.0,"[0.9203499437073861, 0.47587140472214107, 0.2665928700516202]",0.33201613406961217,0.08517535857522804,0.1846192149340817,2.0,0.38772217619737304
15,sphere,625.996,479.825,626.996,480.825,0.021077954646684344,21.077954646684343,107.442,649416.19,,,53.721092238783896,,,,,,,
16,polyhedron,328.693,891.008,329.693,892.008,0.029457257068653025,29.457257068653025,84.538,316345.5,73.69851683971123,,,33.0,"[0.77580201096688, 0.8304072701955187, 0.593342535504904]",0.3910432374458818,0.13071733167159214,0.1697300376531471,3.0,0.5775887575347611
17,aggregate,400.205,649.192,401.205,650.192,0.028815687306906427,28.815687306906426,135.359,1298565.0,71.74123669184172,12.0,,,,,,,,
18,sphere,118.339,696.567,119.339,697.567,0.028402515070243065,28.402515070243066,133.141,1235755.405,,,66.57042094501924,,,,,,,
19,sphere,571.696,922.478,572.696,923.478,0.03002806969075096,30.02806969075096,143.914,1560643.274,,,71.95677299128411,,,,,,,
20,aggregate,138.194,103.17,139.194,104.17,0.028366465516682485,28.366465516682485,136.974,1345599.865,90.5732185876456,7.0,,,,,,,,
