particle_id,shape_type,x_pixel,y_pixel,x_pixel_matlab,y_pixel_matlab,z_position_m,z_position_mm,equivalent_diameter_um,volume_um3,target_radius_um,num_vertices,aspect_ratio,radial_jitter,spike_fraction,indent_fraction,num_fragments,fragment_overlap,num_sub_spheres,radius_um
1,polyhedron,741.919,292.441,742.919,293.441,0.025177005775772428,25.17700577577243,85.995,332978.72,95.16511384165379,28.0,"[0.6933603061456165, 0.8060822098218349, 0.2900131344147026]",0.4959112168782017,0.15170675510622023,0.14760734516752014,4.0,0.7018263539852714,,
2,aggregate,327.474,480.622,328.474,481.622,0.03476092661406745,34.76092661406745,101.55,548332.875,56.898583688471675,,,,,,,,7.0,
3,polyhedron,270.843,624.997,271.843,625.997,0.029386052740876946,29.386052740876945,82.83,297552.549,84.73838876710623,31.0,"[0.9600529380156497, 0.5578532800775909, 0.5233925887928358]",0.3383908848944568,0.08556550049522742,0.2562810706762285,3.0,0.4085782161532677,,
4,sphere,954.415,161.991,955.415,162.991,0.03237697834861773,32.37697834861773,192.898,3758199.203,,,,,,,,,,96.44885189305495
5,polyhedron,545.714,138.933,546.714,139.933,0.02330603059438826,23.306030594388258,102.236,559510.487,81.88503332538221,23.0,"[0.7542191595861791, 0.9835848334775554, 0.9999725695464903]",0.4124508632881149,0.09468161362667459,0.22867526831497353,3.0,0.4345518433254168,,
6,aggregate,543.862,640.225,544.862,641.225,0.020899342245729854,20.899342245729855,118.51,871502.625,56.877227832162674,,,,,,,,15.0,
7,aggregate,118.171,869.24,119.171,870.24,0.02412440997275238,24.12440997275238,122.782,969172.33,75.85463199466764,,,,,,,,7.0,
8,sphere,143.161,802.268,144.161,803.268,0.021529029524837807,21.529029524837807,145.56,1614831.24,,,,,,,,,,72.7801329181489
9,sphere,820.029,86.076,821.029,87.076,0.032970636383122344,32.97063638312235,139.534,1422448.141,,,,,,,,,,69.76687614279577
10,sphere,306.387,702.671,307.387,703.671,0.020929605455995166,20.929605455995166,192.103,3711914.006,,,,,,,,,,96.05126723562344
11,sphere,443.812,248.575,444.812,249.575,0.02743827992391764,27.43827992391764,166.775,2428785.711,,,,,,,,,,83.38735464874642
12,sphere,136.913,472.488,137.913,473.488,0.022276341582324072,22.276341582324072,119.045,883350.265,,,,,,,,,,59.52253853057857
13,sphere,44.366,774.578,45.366,775.578,0.028401387075891377,28.40138707589138,180.769,3092916.901,,,,,,,,,,90.38434480042429
14,polyhedron,396.865,412.118,397.865,413.118,0.03319413009043743,33.19413009043743,64.455,140207.625,74.17083833904819,26.0,"[0.34658470633546834, 0.7778786731054649, 0.9125716268481235]",0.36195714857369615,0.13121062269131833,0.25468818874613103,2.0,0.691253191028038,,
15,sphere,122.771,608.862,123.771,609.862,0.03276954047562152,32.76954047562152,148.969,1730960.7,,,,,,,,,,74.48455019711665
16,sphere,183.884,714.156,184.884,715.156,0.02652870891081979,26.528708910819788,161.916,2222643.075,,,,,,,,,,80.95811217316526
17,aggregate,395.576,360.383,396.576,361.383,0.028706827858571753,28.706827858571753,158.518,2085612.159,88.90926542403103,,,,,,,,9.0,
18,sphere,627.514,149.896,628.514,150.896,0.023774398844195785,23.774398844195783,100.949,538655.012,,,,,,,,,,50.474733178512174
19,aggregate,332.097,231.793,333.097,232.793,0.020916477686731567,20.916477686731568,129.454,1135915.842,82.38864121179617,,,,,,,,7.0,
20,polyhedron,529.585,916.288,530.585,917.288,0.032114258168908914,32.11425816890891,45.532,49425.007,80.17903517327224,17.0,"[0.9939522963596266, 0.38427536104260784, 0.17221473772146684]",0.42754965171217335,0.08459954027341182,0.22574112845878488,3.0,0.5833341243943823,,
