particle_id,shape_type,x_pixel,y_pixel,x_pixel_matlab,y_pixel_matlab,z_position_m,z_position_mm,equivalent_diameter_um,volume_um3,target_radius_um,num_sub_spheres,radius_um,num_vertices,aspect_ratio,radial_jitter,spike_fraction,indent_fraction,num_fragments,fragment_overlap
1,aggregate,429.045,411.113,430.045,412.113,0.0340827695325438,34.0827695325438,100.971,538997.625,53.95073906736854,12.0,,,,,,,,
2,sphere,671.698,130.606,672.698,131.606,0.027672028994175254,27.672028994175253,133.795,1254071.184,,,66.89770100795802,,,,,,,
3,sphere,85.971,662.672,86.971,663.672,0.024612244003313306,24.612244003313307,134.729,1280509.249,,,67.3645433564412,,,,,,,
4,polyhedron,608.99,241.319,609.99,242.319,0.02541290790969849,25.41290790969849,75.231,222937.721,81.58985499173134,,,30.0,"[0.9628943678857006, 0.9756462822286684, 0.3434672264595632]",0.43762608370481537,0.11035126644375379,0.23212567469370035,4.0,0.583583933114094
5,sphere,712.539,928.111,713.539,929.111,0.028929726206066944,28.929726206066945,199.444,4153928.598,,,99.72180695506086,,,,,,,
6,aggregate,538.638,821.03,539.638,822.03,0.03086895823317749,30.86895823317749,133.526,1246519.125,73.96901442952662,9.0,,,,,,,,
7,polyhedron,982.528,862.494,983.528,863.494,0.029962699110628276,29.962699110628275,129.321,1132407.855,83.63187281160103,,,25.0,"[0.8007872997458617, 0.9142287825012753, 0.8192890156880801]",0.41544640683989337,0.13806105731011412,0.14764170288243966,2.0,0.5072515587297085
8,sphere,790.104,744.91,791.104,745.91,0.022859366583474518,22.859366583474518,120.968,926841.909,,,60.48379292721343,,,,,,,
9,polyhedron,107.121,856.764,108.121,857.764,0.023546341923308213,23.546341923308212,70.021,179756.812,83.28079606318116,,,35.0,"[0.9393262669280245, 0.30727738193015847, 0.6173680350744142]",0.49105633036694063,0.09178785611736687,0.25438150980492774,4.0,0.5005065456759804
10,polyhedron,779.839,273.918,780.839,274.918,0.02994338262529057,29.94338262529057,66.967,157248.31,80.6055163613296,,,15.0,"[0.3299306399559049, 0.5833747714591956, 0.954779759677285]",0.4441047427821827,0.12350761006097516,0.21686870586556442,3.0,0.7033062203924819
11,sphere,635.851,935.659,636.851,936.659,0.03228387973532386,32.28387973532386,125.681,1039461.56,,,62.840544778922855,,,,,,,
12,polyhedron,243.063,603.284,244.063,604.284,0.0262681528449256,26.268152844925602,100.582,532800.357,95.86847161599863,,,28.0,"[0.5032624914799786, 0.6715833177158912, 0.586545593541156]",0.5138132332079206,0.12899877081654354,0.16134624963023494,4.0,0.41761089325448975
13,aggregate,866.908,812.743,867.908,813.743,0.021403101157581497,21.403101157581496,160.903,2181174.387,78.81564014634452,15.0,,,,,,,,
14,sphere,749.761,699.075,750.761,700.075,0.02892401293784061,28.924012937840608,156.9,2022415.288,,,78.45017380565595,,,,,,,
15,sphere,855.758,893.389,856.758,894.389,0.024378134724362573,24.37813472436257,156.222,1996294.655,,,78.1109665040878,,,,,,,
16,sphere,49.746,595.514,50.746,596.514,0.026211133127700178,26.21113312770018,136.442,1329958.665,,,68.22075341745058,,,,,,,
17,aggregate,312.704,243.946,313.704,244.946,0.027741103701115995,27.741103701115996,87.65,352582.875,63.61094448172471,5.0,,,,,,,,
18,aggregate,327.527,340.848,328.527,341.848,0.020055881658110324,20.055881658110323,173.973,2757065.918,96.11753879266519,10.0,,,,,,,,
19,sphere,601.856,399.569,602.856,400.569,0.025027476324677056,25.027476324677057,149.559,1751614.769,,,74.77963305143722,,,,,,,
20,sphere,912.378,29.711,913.378,30.711,0.02902989403852923,29.02989403852923,109.457,686634.987,,,54.728360703667946,,,,,,,
