particle_id,shape_type,x_pixel,y_pixel,x_pixel_matlab,y_pixel_matlab,z_position_m,z_position_mm,equivalent_diameter_um,volume_um3,radius_um,target_radius_um,num_vertices,aspect_ratio,radial_jitter,spike_fraction,indent_fraction,num_fragments,fragment_overlap,num_sub_spheres
1,sphere,515.266,270.418,516.266,271.418,0.02867805950951756,28.67805950951756,184.374,3281696.52,92.18705382583124,,,,,,,,,
2,sphere,102.157,624.341,103.157,625.341,0.02869195004604042,28.691950046040418,110.154,699834.576,55.07682906485232,,,,,,,,,
3,sphere,901.44,307.922,902.44,308.922,0.032521755173233705,32.52175517323371,134.541,1275151.907,67.27046635815941,,,,,,,,,
4,sphere,833.023,57.279,834.023,58.279,0.031840858735690716,31.840858735690716,128.398,1108332.743,64.1988405693861,,,,,,,,,
5,sphere,533.438,373.098,534.438,374.098,0.025463443875550055,25.463443875550055,185.487,3341503.115,92.74370048976331,,,,,,,,,
6,polyhedron,345.957,343.857,346.957,344.857,0.029282224595636445,29.282224595636446,46.872,53919.0,,69.33433294056024,17.0,"[0.5323468077264033, 0.2711803433957975, 0.8090216178926083]",0.5154188606759362,0.10828456258190179,0.16767298572919814,4.0,0.4371129436559267,
7,polyhedron,44.826,202.832,45.826,203.832,0.0219063779893369,21.9063779893369,89.336,373317.574,,87.28165352677995,35.0,"[0.3742598270056364, 0.8300477561604218, 0.8390565087099346]",0.4211685382764073,0.12017174386276339,0.2267916703614589,3.0,0.533072269594356,
8,sphere,454.715,608.238,455.715,609.238,0.03400646020952563,34.00646020952563,186.286,3384874.654,93.14323706892665,,,,,,,,,
9,polyhedron,733.912,360.436,734.912,361.436,0.02754371396861068,27.543713968610678,62.58,128320.875,,73.9828079627107,22.0,"[0.7864013112644084, 0.2979933427194702, 0.8597464779156557]",0.5095055587815424,0.11414082752229032,0.22769490259128267,4.0,0.4965457750383583,
10,sphere,824.333,795.656,825.333,796.656,0.02589579030372891,25.89579030372891,184.262,3275712.738,92.13098904022941,,,,,,,,,
11,aggregate,778.132,936.082,779.132,937.082,0.02366776036299631,23.667760362996308,126.436,1058305.5,,70.68311523030289,,,,,,,,9.0
12,sphere,626.995,733.404,627.995,734.404,0.029155638838343663,29.155638838343663,126.888,1069705.346,63.44418929897631,,,,,,,,,
13,polyhedron,974.445,23.683,975.445,24.683,0.02267674906714181,22.67674906714181,52.797,77058.0,,62.72515447482665,19.0,"[0.9227315136712505, 0.6128291979766417, 0.44231175919576327]",0.4969461895443093,0.12825170643004094,0.1822859356238156,2.0,0.6684745888460615,
14,aggregate,721.69,604.132,722.69,605.132,0.034850408083863214,34.850408083863215,81.883,287458.875,,57.07701515528838,,,,,,,,5.0
15,aggregate,128.312,389.317,129.312,390.317,0.028236231705987713,28.236231705987713,194.322,3842070.865,,97.68233609301114,,,,,,,,11.0
16,aggregate,337.442,948.441,338.442,949.441,0.026865910736971862,26.865910736971863,127.688,1090047.375,,66.58647214450465,,,,,,,,8.0
17,sphere,405.437,330.496,406.437,331.496,0.022696375894880515,22.696375894880514,167.32,2452697.845,83.66011939950725,,,,,,,,,
18,polyhedron,203.347,604.908,204.347,605.908,0.03345264464039896,33.45264464039896,59.402,109748.25,,70.06735171789248,29.0,"[0.8447125155451078, 0.3640308819697924, 0.6227608133706745]",0.4853628468034524,0.10487438876245057,0.22783575987063218,2.0,0.6710721342081107,
19,aggregate,307.052,288.778,308.052,289.778,0.031990432722308906,31.990432722308906,180.853,3097246.545,,94.0285068940731,,,,,,,,15.0
20,sphere,192.235,976.815,193.235,977.815,0.029756448264525184,29.756448264525183,154.923,1946896.48,77.46129445775281,,,,,,,,,
