particle_id,shape_type,x_pixel,y_pixel,x_pixel_matlab,y_pixel_matlab,z_position_m,z_position_mm,equivalent_diameter_um,volume_um3,target_radius_um,num_sub_spheres,num_vertices,aspect_ratio,radial_jitter,spike_fraction,indent_fraction,num_fragments,fragment_overlap,radius_um
1,aggregate,370.685,632.768,371.685,633.768,0.02916357728424822,29.16357728424822,151.016,1803297.736,91.32769814180213,9.0,,,,,,,,
2,polyhedron,151.304,365.521,152.304,366.521,0.032689879878253274,32.68987987825327,54.027,82572.476,75.67929347249972,,22.0,"[0.3783659939874811, 0.47943259031592467, 0.7780692445476353]",0.3458202507053312,0.12216933065121899,0.25188965274402003,4.0,0.6099609469817052,
3,sphere,162.886,928.528,163.886,929.528,0.03258283841861167,32.58283841861167,123.225,979714.845,,,,,,,,,,61.61271686705615
4,sphere,67.351,856.049,68.351,857.049,0.02198647437582999,21.986474375829992,180.595,3084018.801,,,,,,,,,,90.29758512162886
5,sphere,555.629,504.785,556.629,505.785,0.03356530071494351,33.56530071494351,109.159,681053.508,,,,,,,,,,54.57966617522005
6,sphere,732.252,330.92,733.252,331.92,0.03486207369885095,34.86207369885095,149.112,1735933.877,,,,,,,,,,74.5558151806884
7,sphere,173.969,89.338,174.969,90.338,0.025870433196036418,25.87043319603642,103.808,585728.136,,,,,,,,,,51.904198898496496
8,sphere,401.964,947.052,402.964,948.052,0.026397323770700438,26.39732377070044,189.9,3585673.718,,,,,,,,,,94.94979969343575
9,aggregate,570.868,579.365,571.868,580.365,0.022571788959889167,22.57178895988917,112.546,746421.75,66.10151160019271,10.0,,,,,,,,
10,sphere,248.898,806.994,249.898,807.994,0.027696196854132018,27.69619685413202,172.955,2708946.113,,,,,,,,,,86.47765788289956
11,polyhedron,980.707,846.677,981.707,847.677,0.02704504077909687,27.04504077909687,30.484,14833.125,57.76260567156235,,20.0,"[0.5423699978513853, 0.33185198416726797, 0.30164972925142547]",0.45373543663598714,0.1193595382688049,0.22055414193985243,2.0,0.6531168204756748,
12,sphere,101.41,249.459,102.41,250.459,0.026183255320461955,26.183255320461953,156.898,2022341.766,,,,,,,,,,78.44922314557704
13,aggregate,755.96,187.862,756.96,188.862,0.02824153569381175,28.24153569381175,123.675,990468.0,64.85942315192783,15.0,,,,,,,,
14,polyhedron,689.67,208.81,690.67,209.81,0.022243804356055497,22.243804356055495,60.184,114139.125,65.08796538859329,,25.0,"[0.4537282862855316, 0.8402561044346974, 0.6789315573461653]",0.3976546784541559,0.09338889007313554,0.17503541299478387,4.0,0.5723548005414938,
15,sphere,768.063,94.296,769.063,95.296,0.032443492836473534,32.44349283647353,156.293,1999028.619,,,,,,,,,,78.146608393112
16,polyhedron,607.524,222.331,608.524,223.331,0.022634635378399402,22.634635378399402,98.705,503523.0,71.1187139993157,,30.0,"[0.776752685966489, 0.761097200764241, 0.9032177089385534]",0.46990887660276237,0.09175435803036999,0.20563089576005722,2.0,0.5103014981199405,
17,polyhedron,298.283,124.561,299.283,125.561,0.026927119459681695,26.927119459681695,54.94,86828.625,73.29958847625227,,24.0,"[0.47870172787425863, 0.849179888424079, 0.3952735476802338]",0.33912521659169553,0.0877850013282921,0.22249386031189197,2.0,0.7085348902651243,
18,sphere,870.291,926.968,871.291,927.968,0.024529740024436218,24.52974002443622,188.938,3531502.567,,,,,,,,,,94.46921480090661
19,aggregate,79.299,912.714,80.299,913.714,0.025342094127425614,25.342094127425614,111.319,722284.017,77.57530828597795,7.0,,,,,,,,
20,aggregate,298.957,539.439,299.957,540.439,0.034106572914053467,34.106572914053466,116.504,827988.75,69.57222778249232,12.0,,,,,,,,
