Particle_ID,x_pixel,y_pixel,radius_m,diameter_um,z_position_m
1,284.002958814297,271.6510656599362,4.9999999999999996e-05,99.99999999999999,0.037079999999999995
2,228.65090571927294,447.45935177071226,4.9999999999999996e-05,99.99999999999999,0.04108
3,220.47711041170442,67.5233929717786,4.9999999999999996e-05,99.99999999999999,0.0324
4,449.2618510309407,468.4733639941434,4.9999999999999996e-05,99.99999999999999,0.034519999999999995
5,487.4436680954034,469.37571765573387,4.9999999999999996e-05,99.99999999999999,0.037599999999999995
6,325.82580473149085,215.09704708128362,4.9999999999999996e-05,99.99999999999999,0.0327
7,397.0531664556153,443.23344191073113,4.9999999999999996e-05,99.99999999999999,0.04242
8,305.0169324856834,145.14341401238238,4.9999999999999996e-05,99.99999999999999,0.03526
9,282.96855305951954,214.40533520926977,4.9999999999999996e-05,99.99999999999999,0.0327
10,433.1842756161877,435.6452148479072,4.9999999999999996e-05,99.99999999999999,0.04094
11,272.6505848538877,387.13551685267004,4.9999999999999996e-05,99.99999999999999,0.03652
12,170.9956700549255,67.72231095405007,4.9999999999999996e-05,99.99999999999999,0.04359999999999999
13,143.13050976213134,320.59943329880014,4.9999999999999996e-05,99.99999999999999,0.0306
14,343.48126450772276,456.23779718334924,4.9999999999999996e-05,99.99999999999999,0.03813999999999999
15,393.7092075420458,80.76760635715115,4.9999999999999996e-05,99.99999999999999,0.039999999999999994
