particle_id,shape_type,x_pixel,y_pixel,x_pixel_matlab,y_pixel_matlab,z_position_m,z_position_mm,equivalent_diameter_um,volume_um3,radius_um,target_radius_um,num_sub_spheres,num_vertices,aspect_ratio,radial_jitter,spike_fraction,indent_fraction,num_fragments,fragment_overlap
1,sphere,301.233,334.549,302.233,335.549,0.021509070364604088,21.50907036460409,197.731,4047858.16,98.86568025822247,,,,,,,,,
2,aggregate,309.816,919.968,310.816,920.968,0.02786705610144227,27.86705610144227,197.313,4022208.833,,96.01363734121898,12.0,,,,,,,
3,polyhedron,648.417,900.631,649.417,901.631,0.032517151716699375,32.517151716699374,37.881,28461.375,,60.54498404839065,,34.0,"[0.355939566057898, 0.47408050944557445, 0.3052910815883961]",0.4290359214296044,0.0915415394920085,0.21268543564398945,3.0,0.4416283314507272
4,polyhedron,447.137,466.811,448.137,467.811,0.02121006708664408,21.21006708664408,42.897,41331.676,,81.98033828897243,,20.0,"[0.5452976439100241, 0.4325638347517101, 0.2032755060783625]",0.3441881428741139,0.09931067949135333,0.14436939600106127,3.0,0.6718174887716534
5,sphere,142.546,811.042,143.546,812.042,0.026164563273479192,26.164563273479192,182.549,3185214.05,91.27461388956254,,,,,,,,,
6,sphere,162.809,75.028,163.809,76.028,0.033577607788191195,33.577607788191195,107.456,649665.622,53.72796921150151,,,,,,,,,
7,polyhedron,311.252,692.366,312.252,693.366,0.02995755337441705,29.95755337441705,60.101,113670.0,,70.36288654504901,,15.0,"[0.6055370702212477, 0.4501722379277572, 0.9192984296062431]",0.2837436713680956,0.12698016768355389,0.162376223865968,3.0,0.6556450864594163
8,sphere,863.985,865.711,864.985,866.711,0.03169519647135039,31.695196471350393,132.958,1230671.371,66.47900277843982,,,,,,,,,
9,aggregate,183.206,424.124,184.206,425.124,0.030706235976086977,30.706235976086976,152.386,1852831.865,,85.18565636580587,10.0,,,,,,,
10,sphere,93.004,294.152,94.004,295.152,0.029735883010414806,29.735883010414806,182.472,3181151.574,91.23579298462874,,,,,,,,,
11,aggregate,71.96,172.206,72.96,173.206,0.021601092032955748,21.601092032955748,179.668,3036762.777,,91.31638523439506,12.0,,,,,,,
12,polyhedron,764.367,348.482,765.367,349.482,0.029794369402569083,29.79436940256908,62.353,126933.75,,74.01504372918708,,15.0,"[0.9360365750940344, 0.718707831089338, 0.409361322055093]",0.3930699155666707,0.13398984587819068,0.18090832507885002,3.0,0.39651178383412705
13,sphere,910.626,194.613,911.626,195.613,0.03172959300518763,31.729593005187628,105.151,608750.871,52.575530324854235,,,,,,,,,
14,polyhedron,648.542,673.799,649.542,674.799,0.033225140882434834,33.225140882434836,52.847,77277.375,,60.812588363596696,,18.0,"[0.5428254028872189, 0.9573824374700516, 0.7328039088828864]",0.4527941835321098,0.13198720450815868,0.1460503400033898,4.0,0.710361826153672
15,sphere,477.912,291.232,478.912,292.232,0.02202773668002787,22.02773668002787,144.125,1567538.48,72.0625900189768,,,,,,,,,
16,sphere,324.234,575.532,325.234,576.532,0.026404437829031402,26.4044378290314,192.548,3737810.8,96.27412239666027,,,,,,,,,
17,aggregate,773.828,602.999,774.828,603.999,0.022916309023176207,22.916309023176208,157.604,2049741.582,,98.89394705496352,5.0,,,,,,,
18,sphere,26.291,704.132,27.291,705.132,0.027433293535650192,27.433293535650193,118.234,865408.536,59.11679148377248,,,,,,,,,
19,sphere,661.487,66.377,662.487,67.377,0.032430152298784286,32.430152298784286,198.085,4069585.486,99.04225552490334,,,,,,,,,
20,aggregate,372.882,919.243,373.882,920.243,0.02443526855848082,24.43526855848082,158.638,2090368.274,,98.9422696926011,5.0,,,,,,,
