Particle_ID,x_pixel,y_pixel,radius_m,diameter_um,z_position_m
1,118.63634175609089,145.45644454472588,4.862819110059101e-05,97.25638220118202,0.034559999999999994
2,32.54092164299682,56.9411678248164,4.6814350782449646e-05,93.62870156489929,0.034019999999999995
3,41.41641399877585,45.261966252668415,3.142834086138444e-05,62.856681722768876,0.021959999999999997
4,78.21375412774907,59.49715063058976,3.548363269688447e-05,70.96726539376894,0.02532
5,214.8039487252899,63.28824706618037,3.922149993702354e-05,78.44299987404708,0.02326
6,219.84955916053335,215.56238523534864,4.273286352720341e-05,85.46572705440681,0.027219999999999998
7,137.94182806625957,196.8248635573183,4.250910433668141e-05,85.01820867336282,0.027479999999999997
8,154.67985947344778,89.27470455178053,3.1557771913962244e-05,63.11554382792449,0.028099999999999997
9,157.26775186103984,99.87813104309042,2.770436843515114e-05,55.40873687030228,0.03236
10,184.35796909831618,115.01556186164447,4.589172335374777e-05,91.78344670749554,0.03222
11,32.67081727083444,134.3938993252874,3.402330493982073e-05,68.04660987964147,0.02438
12,229.94746464153104,227.39949489923185,4.088289481407804e-05,81.76578962815607,0.029419999999999998
13,79.78609105308311,25.070261325302575,3.897317086099597e-05,77.94634172199194,0.0219
14,187.58696726468366,104.9126622806923,4.863473726656431e-05,97.26947453312862,0.02258
15,153.22194990324573,139.86982973504664,3.117935788031113e-05,62.35871576062225,0.03272
