particle_id,shape_type,x_pixel,y_pixel,x_pixel_matlab,y_pixel_matlab,z_position_m,z_position_mm,equivalent_diameter_um,volume_um3,radius_um,target_radius_um,num_vertices,aspect_ratio,radial_jitter,spike_fraction,indent_fraction,num_fragments,fragment_overlap,num_sub_spheres
1,sphere,670.582,707.641,671.582,708.641,0.02078120346401199,20.78120346401199,150.589,1788027.308,75.29425596068666,,,,,,,,,
2,polyhedron,948.958,266.276,949.958,267.276,0.026086909207369894,26.086909207369892,30.38,14681.25,,53.00482434164979,24.0,"[0.47548971860800854, 0.5250041368332397, 0.2764713676153251]",0.3636017906943778,0.12699338347345818,0.25929962843898213,2.0,0.4461328888075519,
3,aggregate,855.096,767.912,856.096,768.912,0.02950929398196074,29.50929398196074,109.245,682664.625,,51.83269448705151,,,,,,,,15.0
4,aggregate,861.867,902.361,862.867,903.361,0.025638164853629023,25.63816485362902,142.004,1499354.684,,80.56873987819974,,,,,,,,12.0
5,sphere,248.04,365.777,249.04,366.777,0.022904819018532713,22.904819018532713,181.378,3124309.546,90.68911186689175,,,,,,,,,
6,sphere,500.635,831.152,501.635,832.152,0.02411979024246915,24.11979024246915,173.618,2740183.369,86.80878390232073,,,,,,,,,
7,sphere,62.148,772.981,63.148,773.981,0.02829346726101766,28.29346726101766,169.539,2551586.485,84.76968342836187,,,,,,,,,
8,sphere,120.31,242.803,121.31,243.803,0.022326493901528358,22.32649390152836,154.453,1929262.574,77.22671768848832,,,,,,,,,
9,polyhedron,651.412,494.272,652.412,495.272,0.02207563389648702,22.07563389648702,52.374,75222.0,,57.307277640287154,29.0,"[0.3522997633180465, 0.7519935210091521, 0.7860638005830601]",0.31018258392010933,0.0947374083365822,0.2088114787193753,3.0,0.49519831962429417,
10,sphere,723.87,290.029,724.87,291.029,0.03373361481534712,33.73361481534712,194.163,3832669.61,97.0817488642349,,,,,,,,,
11,sphere,192.741,927.827,193.741,928.827,0.023064302690636456,23.064302690636456,188.008,3479568.35,94.00383846246218,,,,,,,,,
12,sphere,298.984,248.285,299.984,249.285,0.02720822008696299,27.208220086962992,120.842,923958.257,60.42100070070384,,,,,,,,,
13,aggregate,81.022,471.679,82.022,472.679,0.028835193815939936,28.835193815939935,70.393,182634.75,,52.78962429195208,,,,,,,,5.0
14,polyhedron,91.433,919.303,92.433,920.303,0.027607311181597684,27.607311181597684,58.685,105823.125,,63.470262754991424,19.0,"[0.805948887441498, 0.46738430319946067, 0.7647980855957686]",0.487250522814114,0.11351997374253227,0.16938541843809318,2.0,0.5071596687483573,
15,sphere,457.978,251.152,458.978,252.152,0.02349811568910509,23.498115689105088,193.378,3786342.036,96.68900207256038,,,,,,,,,
16,aggregate,503.749,546.535,504.749,547.535,0.021008209691166627,21.008209691166627,156.285,1998707.257,,84.70461597694188,,,,,,,,13.0
17,sphere,480.699,349.686,481.699,350.686,0.032412996789375995,32.412996789375995,128.229,1103969.255,64.11447983587341,,,,,,,,,
18,polyhedron,106.755,526.421,107.755,527.421,0.02623440374885029,26.23440374885029,51.841,72947.25,,72.12370606343741,32.0,"[0.2788363930731971, 0.3972384253572099, 0.5557056645139271]",0.29606999793304944,0.14844122760013617,0.14440500020403743,2.0,0.627288155725714,
19,aggregate,707.828,905.454,708.828,906.454,0.02379803411577524,23.798034115775238,106.633,634857.75,,55.875087287331525,,,,,,,,14.0
20,polyhedron,890.205,722.496,891.205,723.496,0.027812578758805558,27.812578758805557,54.2,83365.875,,71.80177478545703,27.0,"[0.9181451238183047, 0.47977221766476974, 0.17973832224460032]",0.3778970804691486,0.1303595447081419,0.2305781360875456,3.0,0.41010507588170275,
