particle_id,shape_type,x_pixel,y_pixel,x_pixel_matlab,y_pixel_matlab,z_position_m,z_position_mm,equivalent_diameter_um,volume_um3,radius_um,target_radius_um,num_vertices,aspect_ratio,radial_jitter,spike_fraction,indent_fraction,num_fragments,fragment_overlap,num_sub_spheres
1,sphere,792.662,974.676,793.662,975.676,0.027640893261253477,27.640893261253478,196.65,3981793.33,98.32486719814221,,,,,,,,,
2,polyhedron,137.38,343.514,138.38,344.514,0.023385866028349786,23.385866028349785,49.646,64069.428,,88.24100370540513,22.0,"[0.3933735267191918, 0.27651043309430035, 0.5622973620978877]",0.3982426856795415,0.11817695825753433,0.20653015962233046,4.0,0.6071902121924867,
3,aggregate,690.529,45.81,691.529,46.81,0.02513366978003265,25.13366978003265,167.837,2475511.425,,96.47454748542178,,,,,,,,9.0
4,aggregate,942.635,123.108,943.635,124.108,0.031083576224838788,31.083576224838787,99.014,508261.5,,50.45285288927815,,,,,,,,12.0
5,sphere,704.538,962.184,705.538,963.184,0.02226806753412502,22.26806753412502,168.146,2489211.389,84.07322816405431,,,,,,,,,
6,polyhedron,664.241,775.186,665.241,776.186,0.03391804725506049,33.91804725506049,33.906,20408.625,,64.24068714758374,22.0,"[0.3220131080373009, 0.5429932175167107, 0.2242639555283309]",0.4400493680629074,0.14816814626573727,0.19159842116243786,3.0,0.4359113478936661,
7,sphere,567.123,481.679,568.123,482.679,0.026520631141340602,26.5206311413406,106.849,638716.864,53.42443336515979,,,,,,,,,
8,aggregate,209.174,824.193,210.174,825.193,0.03476569947050636,34.76569947050636,110.849,713164.5,,68.98091225800997,,,,,,,,8.0
9,aggregate,426.9,906.07,427.9,907.07,0.0280169022690959,28.0169022690959,92.839,418979.25,,54.8874045556904,,,,,,,,8.0
10,polyhedron,998.504,697.589,999.504,698.589,0.03016884137227969,30.16884137227969,64.34,139455.0,,62.091859857096324,25.0,"[0.6818127075755793, 0.6925970041237843, 0.8194118382586086]",0.3117939793559745,0.12687544866586528,0.20524837329717258,2.0,0.5511991873774047,
11,polyhedron,922.923,257.63,923.923,258.63,0.021896836652645715,21.896836652645714,89.035,369561.27,,96.06474176398251,23.0,"[0.9369525258524931, 0.8636659807048771, 0.4348424133983191]",0.342004913742441,0.08502021368078509,0.2547322515805854,4.0,0.38639816070256694,
12,sphere,339.095,187.723,340.095,188.723,0.03149314226528982,31.49314226528982,144.439,1577788.438,72.2193186276862,,,,,,,,,
13,sphere,438.859,721.668,439.859,722.668,0.025104435349054807,25.104435349054807,176.374,2872772.242,88.1869242052926,,,,,,,,,
14,sphere,31.328,370.486,32.328,371.486,0.023783345480091755,23.783345480091754,120.914,925618.001,60.45715797294635,,,,,,,,,
15,sphere,357.327,635.847,358.327,636.847,0.031003615196639057,31.003615196639057,143.069,1533329.116,71.53450743516944,,,,,,,,,
16,sphere,679.535,172.537,680.535,173.537,0.02658045832223454,26.580458322234538,151.21,1810272.428,75.60521902488853,,,,,,,,,
17,sphere,385.519,73.368,386.519,74.368,0.03118039075438788,31.18039075438788,113.179,759086.278,56.58928113725658,,,,,,,,,
18,aggregate,570.957,315.723,571.957,316.723,0.023491561940748213,23.491561940748213,105.399,613058.625,,64.91943245305357,,,,,,,,10.0
19,sphere,686.368,699.143,687.368,700.143,0.022349366252990673,22.349366252990674,160.962,2183567.807,80.48087532047896,,,,,,,,,
20,polyhedron,187.109,240.443,188.109,241.443,0.028417462150385393,28.417462150385393,63.238,132411.211,,78.43337239124831,34.0,"[0.5158933279260084, 0.4094445711775284, 0.59571690277492]",0.2924718845189517,0.12796595427788077,0.24215425667013585,4.0,0.7056230281556891,
