particle_id,shape_type,x_pixel,y_pixel,x_pixel_matlab,y_pixel_matlab,z_position_m,z_position_mm,equivalent_diameter_um,volume_um3,target_radius_um,num_vertices,aspect_ratio,radial_jitter,spike_fraction,indent_fraction,num_chips,chip_depth,radius_um,num_sub_spheres
1,polyhedron,457.168,249.604,458.168,250.604,0.028318771805237522,28.31877180523752,118.992,882160.924,91.1380806635415,36.0,"[0.29786294207813147, 0.8707233789944365, 0.6869147392537551]",0.6351689542281734,0.18254311617558422,0.35,10.0,0.4357039567830716,,
2,sphere,809.002,722.216,810.002,723.216,0.03108476005873313,31.084760058733128,119.978,904271.315,,,,,,,,,59.98878258300288,
3,aggregate,142.698,930.604,143.698,931.604,0.02596367290737411,25.96367290737411,116.592,829868.625,56.55288757786566,,,,,,,,,15.0
4,sphere,315.661,944.261,316.661,945.261,0.03374522029307267,33.74522029307267,168.574,2508262.494,,,,,,,,,84.28716727279726,
5,aggregate,344.997,545.874,345.997,546.874,0.03272840733160437,32.72840733160437,131.18,1181968.875,74.04552141500393,,,,,,,,,8.0
6,aggregate,136.053,107.231,137.053,108.231,0.02986794927560792,29.86794927560792,121.037,928435.5,55.98667942505614,,,,,,,,,13.0
7,sphere,70.172,225.293,71.172,226.293,0.021873855189584648,21.87385518958465,183.798,3251031.079,,,,,,,,,91.89901093276916,
8,polyhedron,749.183,637.532,750.183,638.532,0.03276696649642903,32.766966496429035,69.722,177459.594,75.22654950964933,30.0,"[0.3664097443308182, 0.8009658189513712, 0.31408526723856844]",0.47435038793487416,0.22518856367375648,0.35,11.0,0.2583525771728674,,
9,sphere,722.889,955.178,723.889,956.178,0.03173007756107266,31.73007756107266,190.333,3610268.021,,,,,,,,,95.16639359820266,
10,sphere,141.468,734.359,142.468,735.359,0.02660133049291053,26.60133049291053,186.68,3406379.283,,,,,,,,,93.34007191309632,
11,polyhedron,660.668,966.273,661.668,967.273,0.034768671221474375,34.76867122147438,93.123,422840.06,77.65519012056376,27.0,"[0.46617118411592895, 0.8003151230784371, 0.7874860072449783]",0.4993426442333061,0.15486437298370653,0.21737045285142953,10.0,0.3649764367451419,,
12,sphere,204.888,50.402,205.888,51.402,0.02165944201343305,21.65944201343305,100.926,538279.108,,,,,,,,,50.46298909105617,
13,aggregate,261.913,578.362,262.913,579.362,0.028852930741491895,28.852930741491896,153.006,1875544.296,81.00746433141481,,,,,,,,,12.0
14,polyhedron,575.96,760.355,576.96,761.355,0.03475125613989407,34.75125613989407,59.825,112109.898,86.2884817357717,42.0,"[0.5644542909256038, 0.6359372889141481, 0.16059939625003125]",0.647689423582425,0.2024276080455193,0.2834330574649017,12.0,0.46296582331047226,,
15,sphere,616.761,277.286,617.761,278.286,0.029382172353709046,29.382172353709045,195.292,3899901.412,,,,,,,,,97.64612342427829,
16,sphere,975.594,413.712,976.594,414.712,0.030281415811415215,30.281415811415215,132.049,1205605.217,,,,,,,,,66.02455808390081,
17,polyhedron,413.226,880.359,414.226,881.359,0.02915341166649869,29.15341166649869,82.688,296024.625,51.16137911733792,23.0,"[0.5829571647969822, 0.9519531245767945, 0.8758867197251448]",0.49133117236156965,0.20534580824496076,0.29816836609664327,10.0,0.32685726040489504,,
18,sphere,307.966,738.009,308.966,739.009,0.02849630976214467,28.496309762144673,165.607,2378141.786,,,,,,,,,82.80369395475316,
19,aggregate,68.508,611.357,69.508,612.357,0.027292881134334136,27.292881134334134,95.84,460930.5,51.32888824986458,,,,,,,,,11.0
20,sphere,194.814,971.298,195.814,972.298,0.02747959320314473,27.47959320314473,180.619,3085244.73,,,,,,,,,90.30954827223627,
