particle_id,shape_type,x_pixel,y_pixel,x_pixel_matlab,y_pixel_matlab,z_position_m,z_position_mm,equivalent_diameter_um,volume_um3,target_radius_um,num_vertices,aspect_ratio,radial_jitter,spike_fraction,indent_fraction,num_fragments,fragment_overlap,radius_um,num_sub_spheres
1,polyhedron,642.059,938.581,643.059,939.581,0.031227185246765418,31.22718524676542,45.193,48330.0,52.32165747644556,29.0,"[0.5137272257246359, 0.3993581335832035, 0.7398623009924569]",0.36920849985115684,0.1253574351926849,0.25009116440469054,4.0,0.49013391842966847,,
2,sphere,819.701,68.123,820.701,69.123,0.021036229809032445,21.036229809032445,160.142,2150393.151,,,,,,,,,80.07121519421125,
3,aggregate,275.035,149.702,276.035,150.702,0.025751659780768876,25.751659780768875,167.835,2475417.935,94.42911422986924,,,,,,,,,10.0
4,polyhedron,609.922,416.518,610.922,417.518,0.03155875758443321,31.55875758443321,48.522,59815.125,71.0051172392055,25.0,"[0.4831795369702778, 0.8941522455350903, 0.17748850556334125]",0.28400542148002883,0.15166124321514635,0.2029574360492737,2.0,0.5139195023925249,,
5,aggregate,556.792,360.892,557.792,361.892,0.03314741595692597,33.14741595692597,153.287,1885881.908,84.19964458696822,,,,,,,,,10.0
6,aggregate,480.339,411.7,481.339,412.7,0.02505826471261575,25.058264712615753,144.164,1568814.75,67.9882025226867,,,,,,,,,13.0
7,sphere,444.675,265.09,445.675,266.09,0.026972865482251168,26.97286548225117,153.697,1901057.044,,,,,,,,,76.84852091401912,
8,sphere,80.588,366.307,81.588,367.307,0.032213560188999776,32.21356018899978,169.568,2552900.68,,,,,,,,,84.78423447701446,
9,sphere,509.149,546.58,510.149,547.58,0.033954071529423445,33.954071529423445,106.868,639055.664,,,,,,,,,53.433877822347014,
10,aggregate,193.45,477.215,194.45,478.215,0.029790690526627917,29.790690526627916,79.164,259767.0,58.29683125022282,,,,,,,,,5.0
11,polyhedron,397.326,965.582,398.326,966.582,0.021882888761400005,21.882888761400004,111.656,728864.094,91.70414897881071,35.0,"[0.8079466385428948, 0.5600143363530148, 0.7686472302956855]",0.4015689845738819,0.1310417652147338,0.24415494598165177,3.0,0.41102773600439774,,
12,polyhedron,653.668,138.389,654.668,139.389,0.03405991613190459,34.059916131904586,99.676,518518.545,84.36740555131975,25.0,"[0.6459906000893166, 0.9313987640709588, 0.7412379015313841]",0.4485441283149747,0.1412654787703927,0.2010021836190887,3.0,0.4793300203320538,,
13,polyhedron,330.34,143.472,331.34,144.472,0.03129869053202969,31.29869053202969,56.008,91991.019,83.50185337138889,21.0,"[0.49758552341474865, 0.6418954918925256, 0.35902225413901695]",0.505822301524636,0.13583195870712983,0.2270508555956263,2.0,0.4359729860904702,,
14,sphere,199.267,136.731,200.267,137.731,0.02603396664499124,26.03396664499124,192.279,3722145.502,,,,,,,,,96.13943797021084,
15,sphere,843.79,334.163,844.79,335.163,0.020705097479451814,20.705097479451815,166.441,2414228.805,,,,,,,,,83.2204269149855,
16,sphere,519.886,466.456,520.886,467.456,0.02267496629794212,22.67496629794212,189.707,3574781.789,,,,,,,,,94.85356158251184,
17,sphere,883.323,665.756,884.323,666.756,0.02027842129562314,20.27842129562314,103.914,587520.857,,,,,,,,,51.957098830808505,
18,sphere,929.785,821.732,930.785,822.732,0.028776155556170017,28.776155556170018,165.209,2361008.254,,,,,,,,,82.60435897593425,
19,sphere,815.014,139.035,816.014,140.035,0.029793944392554894,29.793944392554895,170.028,2573709.426,,,,,,,,,85.01397075137564,
20,aggregate,461.063,29.807,462.063,30.807,0.030673168411602295,30.673168411602294,143.543,1548625.5,69.26554723636573,,,,,,,,,14.0
