particle_id,shape_type,x_pixel,y_pixel,x_pixel_matlab,y_pixel_matlab,z_position_m,z_position_mm,equivalent_diameter_um,volume_um3,target_radius_um,num_sub_spheres,radius_um,num_vertices,aspect_ratio,radial_jitter,spike_fraction,indent_fraction,num_fragments,fragment_overlap
1,aggregate,798.408,953.38,799.408,954.38,0.022012316013578354,22.012316013578353,124.143,1001765.972,88.01219820061446,7.0,,,,,,,,
2,sphere,694.7,569.594,695.7,570.594,0.021582360956430652,21.58236095643065,118.014,860586.129,,,59.0067793315672,,,,,,,
3,sphere,883.779,844.536,884.779,845.536,0.029529246480720944,29.529246480720943,131.503,1190703.425,,,65.75139900464691,,,,,,,
4,sphere,727.483,104.647,728.483,105.647,0.03449259039124945,34.49259039124945,160.99,2184713.301,,,80.49494621085242,,,,,,,
5,polyhedron,483.888,715.899,484.888,716.899,0.029628266090335857,29.628266090335856,91.3,398487.358,91.68043050447724,,,26.0,"[0.5839702405162874, 0.5861536948432136, 0.9815730762080532]",0.28525847710933255,0.10277731561668728,0.24595914361956972,4.0,0.6251574029628212
6,aggregate,824.144,756.242,825.144,757.242,0.02024830428279688,20.24830428279688,143.306,1540972.797,77.62054500804533,11.0,,,,,,,,
7,sphere,517.198,900.855,518.198,901.855,0.03287118688379989,32.87118688379989,122.435,960978.882,,,61.21742787582451,,,,,,,
8,sphere,163.055,934.232,164.055,935.232,0.022506583443116727,22.506583443116728,171.765,2653414.143,,,85.88265794860533,,,,,,,
9,aggregate,875.423,130.736,876.423,131.736,0.023428217993310133,23.428217993310135,95.872,461389.5,50.41327411500347,9.0,,,,,,,,
10,aggregate,581.401,412.141,582.401,413.141,0.034954548119757435,34.95454811975743,123.409,984109.5,74.94509399129032,9.0,,,,,,,,
11,polyhedron,544.813,735.125,545.813,736.125,0.03353460419081386,33.53460419081386,63.504,134088.75,67.63864487889049,,,20.0,"[0.7262958148067087, 0.4425616091767366, 0.8113063356512817]",0.4345021925883747,0.08591006169332985,0.15212406970863343,4.0,0.6273283752052116
12,polyhedron,414.407,676.643,415.407,677.643,0.02760642543685806,27.60642543685806,66.263,152337.139,96.41535618201867,,,23.0,"[0.27446536175663705, 0.9232916950187834, 0.2892614333869713]",0.28101002986606344,0.14680626147021228,0.2417429095471227,4.0,0.5019639922109528
13,sphere,413.746,372.36,414.746,373.36,0.02759324133678935,27.59324133678935,136.024,1317789.019,,,68.01203323433053,,,,,,,
14,sphere,836.275,553.623,837.275,554.623,0.03205425170382219,32.05425170382219,114.215,780129.555,,,57.1074420099918,,,,,,,
15,polyhedron,387.045,75.507,388.045,76.507,0.02641580749819414,26.41580749819414,60.056,113413.5,74.68128218068294,,,17.0,"[0.44229447201137606, 0.5889929236716261, 0.9145472789212566]",0.40933347325448155,0.1482909142673425,0.19131631260321513,3.0,0.6047714858990533
16,sphere,312.434,758.929,313.434,759.929,0.02004820028327002,20.04820028327002,156.962,2024789.813,,,78.48086467254653,,,,,,,
17,sphere,380.289,455.582,381.289,456.582,0.031471243886968654,31.471243886968654,104.851,603547.924,,,52.42531519739258,,,,,,,
18,aggregate,284.792,145.918,285.792,146.918,0.025139946952786728,25.139946952786726,119.908,902691.0,66.55091813137628,13.0,,,,,,,,
19,polyhedron,116.232,806.372,117.232,807.372,0.025069136172544304,25.069136172544304,87.945,356145.518,92.65050649283614,,,24.0,"[0.4402944918175181, 0.3545107176192276, 0.8938684134285224]",0.36577521537401086,0.14334106498817764,0.15844848408346998,2.0,0.583029425647017
20,sphere,388.857,615.798,389.857,616.798,0.02134908649637723,21.349086496377232,188.931,3531077.759,,,94.46542671779915,,,,,,,
