particle_id,shape_type,x_pixel,y_pixel,x_pixel_matlab,y_pixel_matlab,z_position_m,z_position_mm,equivalent_diameter_um,volume_um3,radius_um,target_radius_um,num_sub_spheres,num_vertices,aspect_ratio,radial_jitter,spike_fraction,indent_fraction,num_fragments,fragment_overlap
1,sphere,922.337,990.23,923.337,991.23,0.033833668666983355,33.83366866698336,153.965,1911026.749,76.98262553872733,,,,,,,,,
2,aggregate,599.708,732.474,600.708,733.474,0.033784494708315974,33.784494708315975,109.644,690167.25,,58.11547860665232,12.0,,,,,,,
3,sphere,466.175,540.553,467.175,541.553,0.024594211540375457,24.594211540375458,108.806,674465.149,54.40309842852117,,,,,,,,,
4,polyhedron,483.712,958.025,484.712,959.025,0.028688850658305697,28.688850658305697,34.542,21579.75,,50.42030878030459,,18.0,"[0.609262206046381, 0.5905059160280322, 0.4310615713557774]",0.4222238783735091,0.09781411684659769,0.24709616694620548,3.0,0.6047854161694786
5,sphere,911.362,165.542,912.362,166.542,0.028196221036171223,28.196221036171224,139.777,1429910.124,69.88865950143457,,,,,,,,,
6,sphere,947.001,865.097,948.001,866.097,0.02732886420435435,27.32886420435435,146.089,1632498.838,73.0445958489235,,,,,,,,,
7,sphere,572.218,145.408,573.218,146.408,0.02146613124736999,21.46613124736999,186.4,3391083.075,93.20014899484318,,,,,,,,,
8,polyhedron,923.517,761.001,924.517,762.001,0.03351584075356301,33.51584075356301,61.049,119134.125,,70.19804899462234,,19.0,"[0.9638254636474082, 0.8088914678941402, 0.4873386216665472]",0.3432853130190049,0.1400920495313647,0.23605060322707683,3.0,0.5944950646104998
9,sphere,825.28,664.265,826.28,665.265,0.02049671522139815,20.496715221398148,144.712,1586750.372,72.3557972480749,,,,,,,,,
10,aggregate,798.94,500.665,799.94,501.665,0.026567887657286352,26.567887657286352,203.531,4414594.048,,95.90160799854047,15.0,,,,,,,
11,aggregate,261.398,801.369,262.398,802.369,0.028672454781424297,28.672454781424296,103.95,588130.875,,51.28785494317369,14.0,,,,,,,
12,aggregate,972.759,957.859,973.759,958.859,0.028975852402899585,28.975852402899584,95.963,462715.875,,68.13617754129862,6.0,,,,,,,
13,polyhedron,407.698,917.002,408.698,918.002,0.03400064754872994,34.00064754872994,60.123,113791.5,,62.02051081115263,,21.0,"[0.6858809389526052, 0.545643267936256, 0.8317267336192965]",0.4111282954683807,0.12027858843177318,0.2357549489848772,3.0,0.5734696852638548
14,sphere,902.829,292.929,903.829,293.929,0.0267195313911004,26.7195313911004,190.001,3591411.882,95.00042218251644,,,,,,,,,
15,sphere,817.715,296.971,818.715,297.971,0.02589263709201632,25.892637092016322,130.514,1164050.681,65.25709849203258,,,,,,,,,
16,sphere,210.712,582.548,211.712,583.548,0.02049651417144831,20.49651417144831,114.92,794663.912,57.45991253004477,,,,,,,,,
17,polyhedron,231.304,292.176,232.304,293.176,0.02022194099408924,20.221940994089238,140.319,1446596.395,,91.52076380670204,,30.0,"[0.9890542714995371, 0.9792889988618084, 0.7758049895800578]",0.45198313897033277,0.0842998334500235,0.19282204681293358,2.0,0.6079235687095262
18,polyhedron,774.258,992.511,775.258,993.511,0.020601747724091343,20.601747724091343,49.259,62581.015,,85.5494136784925,,25.0,"[0.46727089636321134, 0.8494920852314622, 0.22971263810176207]",0.3431571886826202,0.09719416218262983,0.2243688956090112,2.0,0.6275980829908392
19,aggregate,360.961,230.248,361.961,231.248,0.023272201711838185,23.272201711838186,100.99,539308.125,,53.87452864941298,12.0,,,,,,,
20,sphere,800.287,697.018,801.287,698.018,0.031244627974334332,31.244627974334332,106.801,637851.901,53.400306329804266,,,,,,,,,
