particle_id,shape_type,x_pixel,y_pixel,x_pixel_matlab,y_pixel_matlab,z_position_m,z_position_mm,equivalent_diameter_um,volume_um3,target_radius_um,num_vertices,aspect_ratio,radial_jitter,spike_fraction,indent_fraction,radius_um,num_sub_spheres
1,polyhedron,457.168,249.604,458.168,250.604,0.028318771805237522,28.31877180523752,109.474,686962.244,91.1380806635415,28.0,"[0.29786294207813147, 0.8707233789944365, 0.6869147392537551]",0.46194105762048976,0.10952586970535053,0.2564837629273884,,
2,sphere,919.563,246.869,920.563,247.869,0.020561188342642697,20.561188342642698,110.774,711726.685,,,,,,,55.38704729779483,
3,aggregate,386.562,830.714,387.562,831.714,0.03212377208096453,32.12377208096453,165.175,2359577.363,77.74262346957417,,,,,,,15.0
4,sphere,829.599,325.67,830.599,326.67,0.02215807899456714,22.15807899456714,114.617,788405.093,,,,,,,57.30866220963492,
5,aggregate,191.307,305.408,192.307,306.408,0.02230420092788088,22.304200927880878,177.117,2909250.116,96.0485236243725,,,,,,,10.0
6,aggregate,315.661,944.261,316.661,945.261,0.03374522029307267,33.74522029307267,139.056,1407887.773,84.28716727279726,,,,,,,6.0
7,sphere,762.999,291.678,763.999,292.678,0.025462880266580813,25.462880266580814,189.837,3582109.347,,,,,,,94.91832736807679,
8,polyhedron,177.705,168.124,178.705,169.124,0.03404191195063616,34.04191195063616,90.629,389768.625,65.72199901021314,26.0,"[0.5374898670830573, 0.7972642815080334, 0.6200441054649649]",0.5046735968412309,0.14018170756147622,0.19752434769494487,,
9,sphere,295.972,348.549,296.972,349.549,0.02259491667787391,22.594916677873908,105.557,615824.79,,,,,,,52.778395845343894,
10,sphere,748.105,38.356,749.105,39.356,0.0324076013678103,32.407601367810294,131.389,1187624.055,,,,,,,65.69466849009946,
11,polyhedron,388.975,179.25,389.975,180.25,0.029012606119176214,29.012606119176215,163.011,2268037.668,92.82740117872791,29.0,"[0.5236895208086894, 0.9688218856757294, 0.9961448016960915]",0.4653051739251006,0.10638922871429517,0.22251980589993112,,
12,sphere,584.878,999.153,585.878,1000.153,0.03051321515180988,30.51321515180988,113.682,769263.636,,,,,,,56.84106390148131,
13,aggregate,407.447,912.995,408.447,913.995,0.027453748941955243,27.453748941955244,155.18,1956599.992,79.76064202066858,,,,,,,13.0
14,polyhedron,337.082,798.878,338.082,799.878,0.02901100878293964,29.01100878293964,68.195,166057.254,90.65796729100563,21.0,"[0.5605195703419272, 0.48822672577267123, 0.2163921341183093]",0.2871603448239274,0.10894646318931703,0.1422840977380984,,
15,sphere,298.827,225.958,299.827,226.958,0.022786492023066308,22.78649202306631,188.104,3484897.27,,,,,,,94.0518025958935,
16,sphere,493.311,962.888,494.311,963.888,0.02978778801128995,29.78778801128995,104.517,597810.191,,,,,,,52.25865584947132,
17,polyhedron,134.007,271.449,135.007,272.449,0.024421609243618143,24.421609243618143,142.006,1499401.125,74.77532783143093,21.0,"[0.9075330979484645, 0.9262313901748288, 0.986883317013141]",0.5157680039450878,0.15261593755929467,0.14861865686034612,,
18,sphere,845.176,68.139,846.176,69.139,0.02674449032634021,26.744490326340213,167.809,2474272.472,,,,,,,83.90470304399142,
19,aggregate,750.671,982.723,751.671,983.723,0.027971207173958658,27.971207173958657,189.755,3577476.616,94.62438448436632,,,,,,,15.0
20,sphere,275.211,595.366,276.211,596.366,0.02614973582337565,26.14973582337565,128.932,1122227.53,,,,,,,64.46600680511673,
