particle_id,shape_type,x_pixel,y_pixel,x_pixel_matlab,y_pixel_matlab,z_position_m,z_position_mm,equivalent_diameter_um,volume_um3,target_radius_um,num_vertices,aspect_ratio,radial_jitter,spike_fraction,indent_fraction,num_fragments,fragment_overlap,radius_um,num_sub_spheres
1,polyhedron,457.168,249.604,458.168,250.604,0.028318771805237522,28.31877180523752,72.719,201345.573,91.1380806635415,28.0,"[0.29786294207813147, 0.8707233789944365, 0.6869147392537551]",0.46194105762048976,0.10952586970535053,0.2564837629273884,3.0,0.6418665540343415,,
2,sphere,191.865,72.738,192.865,73.738,0.02886715724166457,28.86715724166457,105.54,615522.913,,,,,,,,,52.769770458213,
3,aggregate,408.93,335.992,409.93,336.992,0.027567893555333452,27.567893555333452,139.4,1418375.526,84.03572633997533,,,,,,,,,7.0
4,sphere,608.081,929.691,609.081,930.691,0.021796003827516845,21.796003827516845,149.215,1739557.865,,,,,,,,,74.60766077877146,
5,aggregate,107.199,666.304,108.199,667.304,0.026279124511855694,26.279124511855695,115.117,798761.25,55.85517829500552,,,,,,,,,15.0
6,aggregate,59.24,431.954,60.24,432.954,0.027111990126352556,27.111990126352556,130.024,1150983.0,65.8520455658619,,,,,,,,,13.0
7,sphere,380.465,550.329,381.465,551.329,0.025076847249459893,25.07684724945989,105.811,620282.044,,,,,,,,,52.905424086072365,
8,polyhedron,494.778,769.258,495.778,770.258,0.032780232753217536,32.78023275321754,118.068,861772.836,92.22394366435933,22.0,"[0.9321641829035124, 0.6903429554027354, 0.8727331540086635]",0.36174179094196585,0.11991482101426694,0.20376932492054933,3.0,0.41964330624570334,,
9,sphere,816.372,334.705,817.372,335.705,0.031988202833622366,31.988202833622367,136.154,1321557.562,,,,,,,,,68.07680393195997,
10,sphere,237.329,428.397,238.329,429.397,0.024764534515453428,24.764534515453427,160.073,2147613.202,,,,,,,,,80.03669594313212,
11,polyhedron,49.915,360.78,50.915,361.78,0.0202855122172623,20.2855122172623,48.313,59045.625,53.905419654018196,26.0,"[0.3741158181863313, 0.7938874906381516, 0.7518775503310497]",0.45725929274977184,0.10683502832135845,0.24680233485412348,2.0,0.4265886927763868,,
12,sphere,882.715,776.868,883.715,777.868,0.02776492281931594,27.764922819315938,194.002,3823108.113,,,,,,,,,97.00095054037573,
13,aggregate,540.347,546.963,541.347,547.963,0.026518446270465356,26.518446270465358,144.428,1577437.875,74.53039577559359,,,,,,,,,8.0
14,polyhedron,731.972,473.581,732.972,474.581,0.029899269516939185,29.899269516939185,62.061,125155.125,65.9578247304035,17.0,"[0.6997715175369927, 0.6045879795692486, 0.9575519304307716]",0.3622512742611894,0.09676095608994761,0.22137128730557942,4.0,0.3982837341801748,,
15,sphere,482.711,488.591,483.711,489.591,0.03403312915763983,34.03312915763983,189.026,3536437.49,,,,,,,,,94.51319809118094,
16,sphere,231.722,595.752,232.722,596.752,0.022932297643730063,22.932297643730063,105.949,622708.997,,,,,,,,,52.974334609167,
17,polyhedron,235.794,124.96,236.794,125.96,0.023104777394612596,23.104777394612597,42.917,41387.92,83.97635046044789,20.0,"[0.5670505257040467, 0.3821037243798099, 0.2644882211848452]",0.4864676526925458,0.10706859865900616,0.18329104238219043,2.0,0.5029319757556779,,
18,sphere,118.777,947.207,119.777,948.207,0.026074910922437262,26.07491092243726,134.414,1271549.242,,,,,,,,,67.2070539031674,
19,aggregate,967.209,108.769,968.209,109.769,0.029775042019024915,29.775042019024916,151.969,1837651.225,90.44848012533745,,,,,,,,,10.0
20,sphere,805.52,626.717,806.52,627.717,0.032962052437890875,32.962052437890875,120.187,909008.883,,,,,,,,,60.093362580477056,
