Particle_ID,shape_type,x_pixel,y_pixel,radius_m,diameter_um,equiv_diameter_um,area_um2,volume_um3,z_position_m
1,circle,423.3961141366157,661.1371666803651,4.213946237784066e-05,84.27892475568132,84.12645617833428,5558.4675,311742.7817049635,0.033139999999999996
2,circle,688.8589311839812,470.4389949080878,4.01932205245215e-05,80.386441049043,80.44296912643631,5082.367499999999,272560.4879278021,0.03424
3,circle,234.87953732301392,70.79001147737208,4.987060617698347e-05,99.74121235396693,99.93482624149387,7843.7474999999995,522575.6956631013,0.026539999999999998
4,circle,553.5054863708024,212.15015730343538,4.891661091833612e-05,97.83322183667224,97.86619276606653,7522.38,490791.1274264023,0.025379999999999996
5,circle,320.3493060152893,967.2167094408227,2.9827677135851145e-05,59.655354271702286,59.803989405102605,2808.99,111992.53879935943,0.023119999999999998
6,circle,1003.5479119424692,132.19634909951637,2.611946030048193e-05,52.23892060096386,51.937872455997166,2118.645,73358.60919302408,0.0344
7,circle,488.18026915054554,624.1488140977684,3.561571827651801e-05,71.23143655303603,71.46429353577815,4011.1425000000004,191102.3100225567,0.03188
8,circle,126.87369759049201,985.784391823234,4.839905322925919e-05,96.79810645851838,96.61943876687303,7331.94,472271.9519149246,0.027519999999999996
9,circle,270.68531346112184,1001.1658839742174,3.8257835327505635e-05,76.51567065501128,76.58251716043536,4606.2675,235173.0399095371,0.02514
10,circle,415.17977815888065,139.48677332744833,4.83816944296782e-05,96.7633888593564,97.0107706186874,7391.452500000001,478033.6686776158,0.02428
11,circle,404.0063344977863,489.39699455711497,2.6656355128067998e-05,53.31271025613599,53.66003540280189,2261.475,80900.55237503425,0.034039999999999994
12,circle,422.0314261693652,891.3293462583952,3.8722244729434986e-05,77.44448945886997,77.66327320633408,4737.195,245270.71301111983,0.028239999999999998
13,circle,492.36443781734465,477.6764956766007,3.2471502234024525e-05,64.94300446804905,64.90774964036618,3308.8949999999995,143181.95216417292,0.026319999999999996
14,circle,227.01449122170575,217.5108777643608,4.668094776480645e-05,93.3618955296129,93.5918589821761,6879.6449999999995,429252.5097916219,0.023
15,circle,72.53307490358385,469.9613108214916,4.0488307802253936e-05,80.97661560450787,81.19303634750008,5177.5875,280256.0333865747,0.02924
16,circle,155.13573060028838,962.0658367763426,4.312629029792965e-05,86.2525805958593,86.34887938563797,5856.03,337107.7520991183,0.024439999999999996
17,circle,542.7663134281066,60.25902687433728,3.3886008920210735e-05,67.77201784042147,67.98671762020236,3630.2625000000003,164539.7543164732,0.024739999999999998
18,circle,684.408787119951,526.7745325924514,2.8459208376749513e-05,56.918416753499024,57.08123808625921,2559.0375,97382.01920611037,0.021179999999999997
19,circle,212.62747754111027,503.56548495516523,4.894743879585232e-05,97.89487759170464,97.78873632910738,7510.477500000001,489626.7359687958,0.029959999999999997
20,circle,852.1720984610089,291.2707774103,3.4252652790842686e-05,68.50530558168538,68.54172044218896,3689.7749999999996,168602.35102971847,0.020259999999999997
