Particle_ID,x_pixel,y_pixel,radius_m,diameter_um,z_position_m
1,217.04647875155678,67.58083020312782,8.464427953818002e-06,16.928855907636002,0.025959999999999997
2,840.641876446681,913.7156478505187,7.076957780332002e-06,14.153915560664004,0.032679999999999994
3,590.769519649398,363.2756767580894,6.9696511686223704e-06,13.93930233724474,0.02368
4,955.8835281997832,769.3375005406156,6.064385413193869e-06,12.128770826387738,0.02592
5,53.774092643286835,437.03047080312933,9.291550980785261e-06,18.583101961570524,0.033519999999999994
6,890.7002086970058,411.7593603532113,6.285640486555717e-06,12.571280973111435,0.026039999999999997
7,606.4967216933898,989.5037638035535,7.800367988382138e-06,15.600735976764277,0.022959999999999998
8,85.8239084579407,465.60433640534563,9.977726883211248e-06,19.955453766422497,0.02148
9,490.8273346832901,394.0763073021436,9.631265092772752e-06,19.262530185545504,0.03136
10,576.5192348522423,880.5450008750355,5.515209372512207e-06,11.030418745024413,0.020679999999999997
11,219.0363106219288,847.0318255519146,8.663865942522449e-06,17.327731885044898,0.030559999999999997
12,424.7846761322359,271.5710352301773,7.214992345059062e-06,14.429984690118124,0.0322
13,182.11871011132584,195.53423337357322,7.146501474395089e-06,14.293002948790178,0.032639999999999995
14,201.5582871177412,961.9330576680834,6.6786785037365576e-06,13.357357007473116,0.02796
15,441.3554058957247,96.72705941484529,6.580836608550682e-06,13.161673217101363,0.028959999999999996
