particle_id,shape_type,x_pixel,y_pixel,x_pixel_matlab,y_pixel_matlab,z_position_m,z_position_mm,equivalent_diameter_um,volume_um3,target_radius_um,num_vertices,aspect_ratio,radial_jitter,spike_fraction,indent_fraction,num_fragments,fragment_overlap,radius_um,num_sub_spheres
1,polyhedron,457.168,249.604,458.168,250.604,0.028318771805237522,28.31877180523752,75.629,226496.358,91.1380806635415,28.0,"[0.29786294207813147, 0.8707233789944365, 0.6869147392537551]",0.46194105762048976,0.10952586970535053,0.2564837629273884,4.0,0.5835150491221286,,
2,sphere,575.09,582.413,576.09,583.413,0.026989777294718412,26.98977729471841,117.129,841382.315,,,,,,,,,58.564565204639436,
3,aggregate,767.206,801.428,768.206,802.428,0.02738229823363144,27.382298233631438,119.001,882379.038,76.13158877565614,,,,,,,,,7.0
4,sphere,168.191,942.994,169.191,943.994,0.02452013948772077,24.52013948772077,157.241,2035628.974,,,,,,,,,78.62065749793186,
5,aggregate,704.735,655.847,705.735,656.847,0.03410891614543278,34.10891614543278,156.254,1997512.453,78.90086079037711,,,,,,,,,11.0
6,aggregate,648.553,35.549,649.553,36.549,0.023135864879033623,23.135864879033623,134.139,1263758.625,69.39208475818249,,,,,,,,,13.0
7,sphere,976.753,627.723,977.753,628.723,0.027162588104415995,27.162588104415995,163.377,2283343.196,,,,,,,,,81.68848865346315,
8,polyhedron,899.479,723.797,900.479,724.797,0.034448168353240695,34.448168353240696,73.854,210925.51,88.07162815920037,26.0,"[0.8365038780536329, 0.9001010786964448, 0.2469884605060916]",0.45577924071850906,0.11568638636597053,0.20637245628935302,5.0,0.6409445350116709,,
9,sphere,30.983,987.844,31.983,988.844,0.02421344578946233,24.21344578946233,163.901,2305400.235,,,,,,,,,81.95068246320824,
10,sphere,470.504,147.128,471.504,148.128,0.022284900652363635,22.284900652363635,106.206,627262.884,,,,,,,,,53.10315532700776,
11,polyhedron,408.101,918.878,409.101,919.878,0.02478734741912105,24.78734741912105,75.356,224050.139,81.61414065151051,23.0,"[0.5958245726161807, 0.7449634758469591, 0.6597410532085919]",0.3934681534621596,0.15240439881295947,0.1811256371305947,5.0,0.4031706503747817,,
12,sphere,800.527,842.659,801.527,843.659,0.024265957018601132,24.26595701860113,111.84,732468.63,,,,,,,,,55.919954158933436,
13,aggregate,876.554,47.272,877.554,48.272,0.02780686165650842,27.80686165650842,116.311,823874.625,65.1898309204972,,,,,,,,,10.0
14,polyhedron,801.472,556.277,802.472,557.277,0.028152433926197915,28.152433926197915,77.595,244620.0,56.34676283954599,24.0,"[0.9241911822403852, 0.9788528639850335, 0.7491125745867038]",0.39590521347322816,0.11686107776893287,0.18636097486678183,3.0,0.4674520525053294,,
15,sphere,923.13,264.409,924.13,265.409,0.030947228694543,30.947228694543,140.335,1447107.21,,,,,,,,,70.16772016245642,
16,sphere,124.515,480.934,125.515,481.934,0.02300843706982331,23.00843706982331,175.457,2828219.1,,,,,,,,,87.72865691090674,
17,polyhedron,476.101,305.427,477.101,306.427,0.03194090671438807,31.940906714388067,43.427,42882.75,59.268763640124284,19.0,"[0.8520404539662743, 0.4495231544662489, 0.38301423463531714]",0.3411348040281922,0.09372274291604898,0.25325580417244536,5.0,0.47061433944712083,,
18,sphere,225.636,922.68,226.636,923.68,0.020267914387627713,20.267914387627712,192.569,3739000.247,,,,,,,,,96.28433343683622,
19,aggregate,944.088,44.434,945.088,45.434,0.031445289451651225,31.445289451651224,160.808,2177306.801,96.24812363534727,,,,,,,,,12.0
20,sphere,766.527,303.499,767.527,304.499,0.03181333377294825,31.813333772948255,160.137,2150185.529,,,,,,,,,80.0686381405674,
